assessmentId,scientificName,internalTaxonId,doi
166109531,Rhacophorus calcadensis,58983,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58983A166109531.en
166109981,Ghatixalus variabilis,59027,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T59027A166109981.en
166111992,Uperodon assamensis,61850,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T61850A166111992.en
166112244,Raorchestes nerostagona,61885,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T61885A166112244.en
166112666,Megophrys zunhebotoensis,135879,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T135879A166112666.en
166113102,Nyctibatrachus minimus,136045,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T136045A166113102.en
166113212,Minervarya nicobariensis,136049,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T136049A166113212.en
166113999,Amolops assamensis,158638,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T158638A166113999.en
166114332,Nyctibatrachus dattatreyaensis,173018,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T173018A166114332.en
166114872,Raorchestes chotta,186160,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186160A166114872.en
166115005,Raorchestes coonoorensis,186161,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186161A166115005.en
166115130,Raorchestes kaikatti,186163,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186163A166115130.en
166115426,Raorchestes marki,186165,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186165A166115426.en
166115575,Raorchestes sushili,186166,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T186166A166115575.en
166115729,Raorchestes chromasynchysi,187830,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T187830A166115729.en
166115894,Beduka amboli,189700,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T189700A166115894.en
166116623,Nyctibatrachus kumbara,78521208,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T78521208A166116623.en
166116648,Megophrys oropedion,79080668,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T79080668A166116648.en
166116653,Mercurana myristicapalustris,79095367,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T79095367A166116653.en
166116673,Beddomixalus bijui,79719834,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T79719834A166116673.en
166116688,Megophrys vegrandis,88368304,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T88368304A166116688.en
166116708,Nyctibatrachus anamallaiensis,88378128,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T88378128A166116708.en
166116733,Indirana salelkari,89183211,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T89183211A166116733.en
166116920,Minervarya manoharani,121370882,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T121370882A166116920.en
166116971,Minervarya goemchi,165414176,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T165414176A166116971.en
166156075,Micrixalus kottigeharensis,88369128,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T88369128A166156075.en
166156380,Nyctibatrachus beddomii,88378424,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T88378424A166156380.en
166156541,Nyctibatrachus deccanensis,88378891,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T88378891A166156541.en
169055603,Atuna travancorica,33608,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T33608A169055603.en
169056351,Calophyllum austroindicum,169056310,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T169056310A169056351.en
169056798,Calophyllum pascalianum,169056377,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T169056377A169056798.en
169056985,Capparis rheedei,169056981,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T169056981A169056985.en
169588922,Hopea jacobi,31169,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T31169A169588922.en
