assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,"Mesua ferrea voucher ARG322 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds chloroplast.",,,,PreservedSpecimen,2015,74.25,16.67
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,"Mesua ferrea voucher CNShis0046868 plastid, complete genome.",,,,PreservedSpecimen,2017,97.85,24.01
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,"Mesua ferrea voucher MSoLS_MF_1 internal transcribed spacer 1, partial sequence 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence and large subunit ribosomal RNA gene, partial sequence.",,,,PreservedSpecimen,,74.97,13.02
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Moist Evergreen Forest,,,HIFP,PreservedSpecimen,1992,77.25,8.647222
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Moist Evergreen Forest,,,HIFP,PreservedSpecimen,1992,77.333333,8.519444
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Moist Evergreen Forest,,,HIFP,PreservedSpecimen,1993,77.1556,9.1875
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Moist Evergreen Forest,,,HIFP,PreservedSpecimen,1993,77.431944,8.373611
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Na flowers in bloom across Colombo,,,iNaturalist,HumanObservation,2019,79.862377,6.912406
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2000,76.831325,10.48095
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point,,,NCF-India,HumanObservation,2000,76.895241,10.348778
