internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
73964539,Micrixalus adonis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,adonis,,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014 ","Chaitanya <em>et al</em>. (2018) assigned to <em>Micrixalus </em>cf. <em>adonis</em> specimens found in Meghamalai Wildlife Sanctuary, although precise recording sites were not provided and they are not included in the distribution map or extent of occurrence (EOO) until further taxonomic work has been carried out."
73965400,Micrixalus mallani,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,mallani,,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014",
73965533,Micrixalus nudis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,nudis,,,,,"Pillai, 1978","This is a restricted concept of this species following the split of the broader concept into this and <em>Micrixalus sali </em>(Biju <em>et al.</em> 2014). According to Biju <em>et al.</em> (2014), subpopulations&#160;from Siruvani and surrounding regions now belong to <em>M. thampii</em>."
73967847,Micrixalus sali,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,sali,,,,,"Biju, Garg, Gururaja, Shouche &amp; Walujkar, 2014",This is a split from the broader concept of <em>Micrixalus nudis</em> (Biju <em>et al</em>. 2014).
73967876,Micrixalus frigidus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,frigidus,,,,,"Biju, Garg, Gururaja, Shouche &amp; Walujkar, 2014",
73967915,Micrixalus nigraventris,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,nigraventris,,,,,"Biju, Garg, Gururaja, Shouche &amp; Walujkar, 2014",
73971314,Micrixalus specca,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,specca,,,,,"Biju, Garg, Gururaja, Shouche &amp; Walujkar, 2014",This is a split from the broader concept of <em>Micrixalus saxicola</em> (Biju <em>et al.</em> 2014).
73972049,Micrixalus fuscus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,fuscus,,,,,"(Boulenger, 1882)",This is a restricted concept of this species following the split into this and <em>Micrixalus herrei</em> (Biju <em>et al.</em> 2014).
73972645,Micrixalus herrei,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,herrei,,,,,"Myers, 1942",This species has been removed from the synonymy of <em>Micrixalus fuscus</em> (Biju <em>et al</em>. 2014).
191004,Minervarya chilapata,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Minervarya,chilapata,,,,,"Ohler, Deuti, Grosjean, Paul, Ayyaswamy, Ahmed &amp; Dutta, 2009",
189814,Raorchestes resplendens,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,resplendens,,,,,"Biju, Shouche, Dubois, Dutta, &amp; Bossuyt, 2010",
87739329,Raorchestes flaviventris,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,flaviventris,,,,,"(Boulenger, 1882)","This is a restricted concept of this species following the split of the broader concept into this and <em>Raorchestes hassanensis</em> (Abraham <em>et al</em>. 2015).<br/><br/>Up until recently this species was known only from the type series collected in 1882. It was rediscovered and published as a new species,&#160;<em>R. emeraldi</em>, by Vijayakumar&#160;<em>et al.&#160;</em>(2014), but Abraham&#160;<em>et al.&#160;</em>(2015) determined that these new specimens actually belonged to this species that had not been recorded for over 100 years."
87739247,Ghatixalus magnus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Ghatixalus,magnus,,,,,"Abraham, Jobin, Cyriac, Zachariah, Raju &amp; Zachariah, 2015",
112690948,Nyctibatrachus athirappillyensis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,athirappillyensis,,,,,"Garg, Suyesh, Sukesan &amp; Biju, 2017",
112691330,Nyctibatrachus pulivijayani,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,pulivijayani,,,,,"Garg, Suyesh, Sukesan &amp; Biju, 2017",
112691501,Nyctibatrachus sabarimalai,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,sabarimalai,,,,,"Garg, Suyesh, Sukesan &amp; Biju, 2017",
112691545,Nyctibatrachus webilla,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,webilla,,,,,"Garg, Suyesh, Sukesan &amp; Biju, 2017",
253632034,Syzygium stocksii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,stocksii,,,,,(Duthie) Gamble,<em>Syzygium stocksii</em>&#160;and&#160;<em>S. travancoricum&#160;</em>have been merged (Byng&#160;<em>et al.</em>&#160;2015) and treated under the earlier valid name&#160;<em>S. stocksii</em>.
31219,Myristica malabarica,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,MYRISTICACEAE,Myristica,malabarica,,,,,Lam.,
