internalTaxonId,commonName,language,main
33022,Thondupoliyan Pongu,Malayalam,false
33022,Naduvalippongu,Malayalam,true
33023,Black Kongu,English,false
33023,Karum Kongu,Tamil,false
33023,Karakongu,Malayalam,true
169578317,Chembil,Malayalam,false
169578317,Santhanaviri,Tamil,false
169578317,Cheeralam,Malayalam,true
31275,XIn Ye Hou Huan Xi,Chinese,true
176856760,Robust Bead Tree,English,true
22693431,Bécasseau cocorli,French,false
22693431,كروان الماء,Arabic,false
22693431,Curlew Sandpiper,English,true
181140345,Naga Hills Horned Frog,English,true
181141076,Dzükou Valley Horned Frog,English,true
181473105,Andaman Bush Toad,English,true
181140883,Tamenglong Horned Frog,English,true
186884431,Three-flowered Pecteilis,English,true
184539455,Leafless Crepidium,English,true
186884507,K.L.Sahani's Peristylus,English,true
186884978,Obtuse Eulophia,English,true
186885185,Sahyadric Habenaria,English,true
191547129,Kala Nisurdi,Marathi,true
197945955,Keira's Bush Frog,English,false
197945955,Keira’s Shrub Frog,English,true
31187,Adimundan,Malayalam,true
33645,Hill Tamarind,English,false
33645,Malam puli,Malayalam,true
33647,Ennappayin,Malayalam,false
33647,Kulavu,Malayalam,true
38758,Malamvetti,Malayalam,true
201030934,Kaattashokam,Malayalam,true
210014331,Kaitha,Malayalam,true
38036,Bhedshi,Konkani,false
38036,Hrasvajambuh,Sanskrit,false
38036,Karinjara,Malayalam,false
38036,Kunta neerale,Kannada,false
38036,Kuntangila,Kannada,false
38036,Njara,Malayalam,false
38036,Pottinjaval,Malayalam,false
38036,Ran lavang,Marathi,false
38036,Cherujara,Malayalam,true
210010463,Neerodum,Malayalam,true
210013452,Thavittaal,Malayalam,false
210013452,Chela,Malayalam,true
210013949,Kallaal,Malayalam,true
215199522,Koch,Marathi,true
22679012,Manipur Bush Quail,English,false
22679012,Manipur Bush-Quail,English,false
22679012,Manipur Bush-quail,English,true
22679330,Hume's Bar-tailed Pheasant,English,false
22679330,Mrs. Hume's Pheasant,English,false
22679330,Faisán de Hume,Spanish; Castilian,false
22679330,Mrs Hume's Pheasant,English,true
222292291,Ponmudinjara,Malayalam,true
31181,Malamavu,Malayalam,true
22693225,Nordmann's Greenshank,English,false
22693225,Nordmann’s Greenshank,English,false
22693225,Archibebe Moteado,Spanish; Castilian,false
22693225,Spotted Greenshank,English,true
22729465,Águila Culebrera de Nicobar Mayor,Spanish; Castilian,false
22729465,Great Nicobar Serpent-eagle,English,true
225970375,Thekkan Attillipa,Malayalam,true
37314,Kotthapanu,Malayalam,true
22695494,Nicobar Shikra,English,false
22695494,Gavilán de Nicobar,Spanish; Castilian,false
22695494,Nicobar Sparrowhawk,English,true
82031633,Boggelrugdolfyn,Afrikaans,false
82031633,Dauphin à bosse,French,false
82031633,Dukhs,Arabic,false
82031633,Fesobory,Malagasy,false
82031633,Fesodoby,Malagasy,false
82031633,Fesoke Manjavany,Malagasy,false
82031633,Fukariyo,Gujarati,false
82031633,Gada reda,Marathi,false
82031633,Gad/Gaadha reda,Kannada,false
82031633,Goonu,Telugu,false
82031633,Kadal ongi,Malayalam,false
82031633,Kadal panni,Malayalam,false
82031633,Kushuku,Swahili,false
82031633,Malhar,Sindhi,false
82031633,Paru vedan,Hindi,false
82031633,Pomboo mweupe,Swahili,false
82031633,Pomboo nundu,Swahili,false
82031633,Sori vedan,Tamil,false
82031633,Thella thoralu,Telugu,false
82031633,Vella ongi,Tamil,false
82031633,Υβοδέλφινο του Ινδικού,"Greek, Modern (1453-)",false
82031633,Indian Ocean Humpback Dolphin,English,true
33007,Chheuteal Teuk,Central Khmer,false
33007,Dau Nuoc,Vietnamese,false
33007,Day Rai,Vietnamese,false
33007,Yaang Naa,Thai,false
33007,Yang Khao,Lao,false
22715856,Marsh Babbler,English,true
239578615,Neelakurinji,Malayalam,true
239905380,Kottappoovu,Malayalam,true
239905440,Avukarum,Malayalam,true
239905600,Pakar,Hindi,false
239905600,Akai-bat,Hindi,true
22681585,Great Slaty Woodpecker,English,true
22680064,White-winged Wood Duck,English,false
