internalTaxonId,habitatCode,habitatName,majorImportance,season,suitability
150087712,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
150087712,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Yes,Resident,Suitable
150087877,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
150087877,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
150087897,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
150087897,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
150087897,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
150088659,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
150088659,15.8,Artificial/Aquatic - Seasonally Flooded Agricultural Land,,Resident,Marginal
150088659,14.5,Artificial/Terrestrial - Urban Areas,,Resident,Marginal
152958245,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
153115088,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
153116010,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
153116061,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
209668480,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Yes,Resident,Suitable
209668480,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
209668480,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,Resident,Suitable
209668480,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
209668480,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
209668480,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
209668480,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
209668480,1.8,Forest - Subtropical/Tropical Swamp,Yes,Resident,Suitable
157146680,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
157150683,1.4,Forest - Temperate,,,Suitable
158847184,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159074166,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159079094,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159079733,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
159080036,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159080601,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159103471,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159104035,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
159104035,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
159121187,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
54478,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
54478,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
