assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
73967908,73967876,Micrixalus frigidus,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73967908,73967876,Micrixalus frigidus,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73967921,73967915,Micrixalus nigraventris,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73967921,73967915,Micrixalus nigraventris,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73971896,73971314,Micrixalus specca,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73971896,73971314,Micrixalus specca,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73971902,73972049,Micrixalus fuscus,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73971902,73972049,Micrixalus fuscus,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73971902,73972049,Micrixalus fuscus,1.8,Forest - Subtropical/Tropical Swamp,Yes,Resident,Suitable
73972656,73972645,Micrixalus herrei,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73972656,73972645,Micrixalus herrei,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
86896338,191004,Minervarya chilapata,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
86896338,191004,Minervarya chilapata,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
86896338,191004,Minervarya chilapata,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,Yes,Resident,Suitable
86897335,189814,Raorchestes resplendens,4.7,Grassland - Subtropical/Tropical High Altitude,Yes,Resident,Suitable
87721492,87739329,Raorchestes flaviventris,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
87721492,87739329,Raorchestes flaviventris,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
87739274,87739247,Ghatixalus magnus,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
87739274,87739247,Ghatixalus magnus,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
87739274,87739247,Ghatixalus magnus,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
112691249,112690948,Nyctibatrachus athirappillyensis,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
112691249,112690948,Nyctibatrachus athirappillyensis,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
112691249,112690948,Nyctibatrachus athirappillyensis,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
112691361,112691330,Nyctibatrachus pulivijayani,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
112691361,112691330,Nyctibatrachus pulivijayani,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
112691514,112691501,Nyctibatrachus sabarimalai,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
112691514,112691501,Nyctibatrachus sabarimalai,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
112691564,112691545,Nyctibatrachus webilla,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
112691564,112691545,Nyctibatrachus webilla,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
112691564,112691545,Nyctibatrachus webilla,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
115932944,36652,Aglaia malabarica,1.6,Forest - Subtropical/Tropical Moist Lowland,,Resident,Suitable
119040796,31199,Syzygium occidentale,1.6,Forest - Subtropical/Tropical Moist Lowland,No,Resident,Suitable
119040796,31199,Syzygium occidentale,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
