assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
145297273,144056383,Beilschmiedia brandisii,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Beilschmiedia,brandisii,,,,Hook.f.,Critically Endangered,B2ab(iii),3.1,Unknown,Global
145297963,145290519,Beilschmiedia sikkimensis,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Beilschmiedia,sikkimensis,,,,King ex Hook.f.,Endangered,B2ab(iii),3.1,Unknown,Global
145415813,145301615,Cinnamomum bhaskarii,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cinnamomum,bhaskarii,,,,M.Gangop.,Critically Endangered,B2ab(iii),3.1,Unknown,Global
145415823,145301728,Cinnamomum bishnupadae,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cinnamomum,bishnupadae,,,,M.Gangop.,Endangered,B2ab(iii),3.1,Unknown,Global
145415833,145301965,Cinnamomum blandfordii,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cinnamomum,blandfordii,,,,M.Gangop.,Endangered,B2ab(iii),3.1,Unknown,Global
145416111,145310645,Cinnamomum kingdon-wardii,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cinnamomum,kingdon-wardii,,,,Kosterm.,Critically Endangered,B2ab(iii),3.1,Unknown,Global
145416166,145311979,Cinnamomum lohitensis,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cinnamomum,lohitensis,,,,M.Gangop.,Critically Endangered,B2ab(iii),3.1,Unknown,Global
145416471,145344026,Cinnamomum sanjappae,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cinnamomum,sanjappae,,,,M.Gangop.,Vulnerable,D2,3.1,Unknown,Global
145416576,145404323,Cinnamomum suvrae,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cinnamomum,suvrae,,,,M.Gangop.,Endangered,B2ab(iii),3.1,Unknown,Global
147294060,37611,Euphorbia vajravelui,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Euphorbia,vajravelui,,,,Binojk. &amp; N.P.Balakr.,Endangered,B1ab(iii)+2ab(iii); D,3.1,Decreasing,Global
149680186,149680126,Mysticellus franki,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Mysticellus,franki,,,,"Garg &amp; Biju, 2019",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
149682627,149682598,Leptobrachella lateralis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Leptobrachella,lateralis,,,,"(Anderson, 1871)",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
149812631,31200,Syzygium palghatense,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Syzygium,palghatense,,,,Gamble,Critically Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global
149813923,32866,Syzygium bourdillonii,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Syzygium,bourdillonii,,,,(Gamble) Rathakr. &amp; Nair,Endangered,"A2c; B2ab(i,ii,iii,iv,v); C2a(i)",3.1,Decreasing,Global
150087543,150087536,Megophrys flavipunctata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,flavipunctata,,,,"Mahony, Kamei, Teeling &amp; Biju, 2018",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
150087783,150087712,Megophrys himalayana,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,himalayana,,,,"Mahony, Kamei, Teeling &amp; Biju, 2018",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
150087885,150087877,Megophrys oreocrypta,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,oreocrypta,,,,"Mahony, Kamei, Teeling &amp; Biju, 2018",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
150087902,150087897,Megophrys periosa,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MEGOPHRYIDAE,Megophrys,periosa,,,,"Mahony, Kamei, Teeling &amp; Biju, 2018",Endangered,B1ab(iii),3.1,Decreasing,Global
150088664,150088659,Microhyla laterite,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Microhyla,laterite,,,,"Seshadri, Singal, Priti, Ravikanth, Vidisha, Saurabh, Pratik &amp; Gururaja, 2016",Endangered,B1ab(iii),3.1,Decreasing,Global
150219899,150213910,Alseodaphne owdenii,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Alseodaphne,owdenii,,,,R.Parker,Vulnerable,B2ab(iii),3.1,Unknown,Global
150219924,150215092,Lindera melastomacea,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Lindera,melastomacea,,,,Fern.-Vill.,Vulnerable,B2ab(iii),3.1,Unknown,Global
153622583,152958245,Litsea membranifolia,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Litsea,membranifolia,,,,Hook.f.,Endangered,B2ab(iii),3.1,Unknown,Global
153622783,153112765,Litsea coelestis,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Litsea,coelestis,,,,H.P.Tsui,Vulnerable,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Unknown,Global
153622868,153115088,Litsea oleoides,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Litsea,oleoides,,,,(Meisn.) Hook.f.,Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global
153622903,153116010,Litsea assamica,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Litsea,assamica,,,,Hook.f.,Endangered,B2ab(iii),3.1,Unknown,Global
153622908,153116061,Litsea mishmiensis,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Litsea,mishmiensis,,,,Hook.f.,Critically Endangered,B2ab(iii),3.1,Unknown,Global
156580466,209668480,Hylarana aurantiaca,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Hylarana,aurantiaca,,,,"(Boulenger, 1904)",Endangered,B1ab(iii),3.1,Decreasing,Global
156940901,155993997,Syzygium avene,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Syzygium,avene,,,,Miq.,Vulnerable,B2ab(iii),3.1,Unknown,Global
157563361,157146680,Actinodaphne andamanica,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Actinodaphne,andamanica,,,,M.Gangop.,Vulnerable,D2,3.1,Unknown,Global
157563506,157150683,Actinodaphne longipes,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Actinodaphne,longipes,,,,Kosterm.,Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global
158892410,158847184,Vitex wimberleyi,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Vitex,wimberleyi,,,,Kurz,Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Decreasing,Global
159054357,159051467,Callicarpa moldenkeana,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Callicarpa,moldenkeana,,,,A.Rajendran &amp; P.Daniel,Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Unknown,Global
159443752,159074166,Cryptocarya andamanica,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cryptocarya,andamanica,,,,Hook.f.,Vulnerable,D2,3.1,Unknown,Global
159443782,159079094,Cryptocarya balakrishnanii,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cryptocarya,balakrishnanii,,,,M.Gangop. &amp; Chakrab.,Endangered,B2ab(iii),3.1,Unknown,Global
159443812,159079733,Cryptocarya burkillii,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cryptocarya,burkillii,,,,M.Gangop.,Critically Endangered,B2ab(iii),3.1,Unknown,Global
159443837,159080036,Cryptocarya cavei,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cryptocarya,cavei,,,,M.Gangop. &amp; Chakrab.,Critically Endangered,B2ab(iii),3.1,Unknown,Global
159443877,159080601,Cryptocarya dekae,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cryptocarya,dekae,,,,M.Gangop.,Endangered,B2ab(iii),3.1,Unknown,Global
159443962,159103471,Cryptocarya insularis,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Cryptocarya,insularis,,,,Vasudeva Rao &amp; Chakrab.,Vulnerable,D2,3.1,Unknown,Global
