internalTaxonId,scientificName,redlistCategory,redlistCriteria,kingdomName,phylumName,className,orderName,familyName,genusName,speciesEpithet,doi,populationTrend,hasImage
73964539,Micrixalus adonis,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,adonis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73964539A73964543.en,Decreasing,True
73965400,Micrixalus mallani,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,mallani,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73965400A73965406.en,Decreasing,True
73965533,Micrixalus nudis,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,nudis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73965533A73965523.en,Decreasing,False
73967847,Micrixalus sali,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,sali,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73967847A73967869.en,Decreasing,False
73967876,Micrixalus frigidus,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,frigidus,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73967876A73967908.en,Decreasing,True
73967915,Micrixalus nigraventris,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,nigraventris,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73967915A73967921.en,Decreasing,False
73971314,Micrixalus specca,Critically Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,specca,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73971314A73971896.en,Decreasing,True
73972049,Micrixalus fuscus,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,fuscus,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73972049A73971902.en,Decreasing,True
73972645,Micrixalus herrei,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,herrei,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T73972645A73972656.en,Decreasing,True
191004,Minervarya chilapata,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Minervarya,chilapata,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T191004A86896338.en,Decreasing,False
189814,Raorchestes resplendens,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,resplendens,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T189814A86897335.en,Decreasing,True
87739329,Raorchestes flaviventris,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,flaviventris,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T87739329A87721492.en,Decreasing,True
87739247,Ghatixalus magnus,Vulnerable,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Ghatixalus,magnus,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T87739247A87739274.en,Decreasing,True
112690948,Nyctibatrachus athirappillyensis,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,athirappillyensis,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T112690948A112691249.en,Decreasing,False
112691330,Nyctibatrachus pulivijayani,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,pulivijayani,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T112691330A112691361.en,Decreasing,True
112691501,Nyctibatrachus sabarimalai,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,sabarimalai,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T112691501A112691514.en,Decreasing,False
112691545,Nyctibatrachus webilla,Endangered,B1ab(iii),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,NYCTIBATRACHIDAE,Nyctibatrachus,webilla,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T112691545A112691564.en,Decreasing,False
